NOM_CLIENT,count
O.F.P.P.T,2265
RENAULT TANGER EXPLOITATION,1978
OFFICE NATIONAL DES AEROPORTS,1162
DGCL,1007
FONDATION HASSAN II DE LA SANTE,729
AL AMANA MICROFINANCE,578
LABEL VIE,511
ANAPEC,437
BEST INTERIM,296
POLYDESIGN SYSTEMS,286
FONDATION DES OEUVRES SOCIALES DES TRAVAUX PUBLICS,266
ATLAS MULTISERVICES,214
UNIVERSITE MOHAMMED VI POLYTECHNIQUE,200
BUSINESS CASH CENTER,175
RAM HANDLING,174
HYPER MARCHE LV,174
G4S MAROC,167
AL AKHAWAYN UNIVERSITY,167
DELL SAS,167
MINISTERE DE LA JUSTICE,164
LAPROPHAN,155
OFFICE NATIONAL DE PECHES,151
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEU,147
COMPAGNIE MINIERE DE TOUISSIT,145
BARID AL MAGHRIB,143
TECTRA,141
COMARBOIS,130
STE SOFRECOM SERVICES MAROC,130
COLORADO,113
DGPC,110
GHARB PAPIER CARTON,110
ENTERPRISE SERVICES CDG,108
IDEMCO,105
MENARA PREFA,101
ATLAS RIDER,99
LA SOMACA,98
ATLAS ONLINE,97
AOS DES JURIDICTIONS FINANCIERES,88
ECO-MEDIA,87
CIMENT DE L'ATLAS,87
BRICO INVEST,83
TMPA,80
SNEP,79
NEXANS MAROC,76
SIKA,73
GENERAL FIRST FOOD SERVICES,72
RMO TRAVAIL TEMPORAIRE,71
GROUPE AFMA,69
NOVEC,68
MARMARA MEDINA,67
MAXI LV,66
TANGER MED ENGINEERING,62
MAZARS AUDIT ET CONSEIL,58
AUXILIAIRES D'AUTORITE RURAUX,58
LAFARGE PLACO MAROC,57
FONDATION AL KARAMA POUR LA MICRO FINANCE,57
MUTUELLE DES DOUANES ET IMPOTS INDIRECTS,55
BMCI,55
CENTRE NATIONAL DE L'ENERGIE DES SCIENCES ET DES T,54
ACCOLADE,51
ADIDAS MOROCCO LLC,50
NEWREST MAROC,49
ELEPHANT VERT MAROC,46
X OFFICE SYSTEMS,43
SOCIETE CENTRALE DE REASSURANCE,41
AKZO NOBEL COATINGS,41
MULTI  AFFAIRE CONSTRUCTION ET EQUIPEMENT ( MACE ),38
EXPLOITATION DES HOTELS RYAD MOGADOR,38
"CTM ""CARRIERES ET TRANSPORT MENARA""",38
"CENTRALE AUTOMOBILE CHERIFIENNE ""CAC""",38
STE.MAROCAINE DES EMBALLAGES FANTASIA  S.A,38
SIRMEL,37
SOREAD,37
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEUR,37
IMCE,36
CIFO,36
SOCOTEC MAROC,35
MASCIR,34
ATLAS VOYAGE,34
NOKIA SOLUTIONS AND NETWORKS MOROCCO SARL,33
ROCHE S.A.,32
CRIT,31
ACCOLADE CASABLANCA,30
DACHSER MOROCCO,30
FONDATION ZAKOURA,29
ECO-PRINT,29
IBERMA,28
SOFITEL THALASSA SEA & SPA,27
ATOS ITS NEARSHORE CENTER MAROC,27
FIDAROC GRANT THORNTON,26
CIRES TECHNOLOGIES,25
DELIPAT,25
BASF MAROC,25
INTERLUX,25
TANGER MED PORT AUTHORITY (TMPA),24
CASA TRANSPORT,24
SOGEA MAROC,24
CDG,23
CUMMINS MAROC,23
CHANTIERS & ATELIERS DU MAROC,23
COMPAGNIE GENERALE IMMOBILIERE,23
HYATT PLACE TAGHAZOUT,23
CIMR,22
RENAULT COMMERCE MAROC,22
INSTITUTION D'EDUCATION AL QALAM,22
TANGER MED UTILITIES S.A,22
STE MAROCAINE DE TRANSPORT ET DE STOCKAGE DE PRODUITS PETROL,22
TOYOTA DU MAROC,21
ATLAS SERVAIR NOUASSER,21
AKZO,21
AGENCE SPECIALE TANGER MEDITERRANEE,21
ASSOCIATION DES OEUVRES SOCIALES DU MINISTERE DU C,20
SIEMENS SA,19
TECHNIQUE ACIERS,19
"BEACHCOMBER HOTELS ""FAIRMONT MARRAKECH""",18
SULZER MAROC,18
"CENTRALE AUTOMOBILE CHERIFIENNE ""C.A.C""",18
TANGER MED ZONES,18
RMO GARDIENNAGE,18
VERSALYA,18
LES IMPRIMERIES DU MATIN,17
SIEMENS HEALTHCARE SARL,17
ATOS IT SERVICES,17
SAINT GOBAIN MAROC,17
STE CGI TECHNOLOGIE ET SOLUTIONS MAROC,16
10 RAJEB,15
VIAS,15
SCAL AVIS,15
DIKA MOROCCO AFRICA,15
SCPC SAPEL,15
MOROCCO TRADE AND DEVELOPEMENT,15
SOCIETE FINEA,14
SOCIETE DE REALISATION MECANIQUE,14
SCIF,13
SOFITEL ESSAOUIRA MOGADOR GOLF & SPA,13
INDUSCAP,13
YAMED CAPITAL,13
JOHNSON AND JOHNSON MOROCCO S.A,13
CGEM,13
SOFITEL CASABLANCA TOUR BLANCHE,13
CIRES TECHNOLOGIES HORS ZONE FRANCHE,13
THAIS,13
SOCIETE DE REALISATION MECANIQUE - SRM,13
AL HOCEINIA REAL ESTATE,12
CASANET,12
EAGLE HILLS RABAT REAL ESTATE,12
HILTI MAROC,12
OCP SOLUTIONS,12
COTHERMY,12
SYH MOROCCO,12
SOCOPIM,12
FONDS D'EQUIPEMENT COMMUNAL,12
HOTEL CLUB VAL D'ANFA,11
EVERNEX MAROC,11
WAVESTONE ADVISORS MAROC,11
BCG MAROC,11
GREEN BIZ,11
KENZI EUROPA HOTEL,11
UNIFITEL,10
LMS CSA MARKETING & SONDAGES,10
DAMA CONSULTING,10
MAROC SOIR,10
ATLANTIC PALACE,10
SOMOTEL,10
GENERALE CLEAN TEMP,10
BRITISH EMBASSY,10
AOS MINISTERE DE COMMERCE,10
PREMIUM OFFSHORE,10
ASSOCIATION DAR EL KHEIR WAL KARAMA COMPLEXE SOCIA,10
KITEA,9
HANDICAP INTERNATIONAL,9
DISTRAL MAROC,9
HOTEL SAHARA,9
BAB AL BAHR HOSPITALITY,9
G4S INTEGRATED SERVICES MOROCCO,9
SOCIETE DES BOISSONS DU MAROC,9
GEFCO MAROC,9
SOCIETE HOTELLERIE AGDAL MEDINA,9
SIEMENS ENERGY SARL AU,9
BIC MAROC SARL,9
MIFTAH IMMOBILIER MANAGEMENT,9
NEWREST RAHAL MAROC INFLIGHT,9
SCRIM,8
VALYANS CONSULTING,8
PANOVIE,8
YAMED CONSTRUCTION,8
HOUAR,8
STE MAROCAINE DE TRANSPORT ET DE STOCKAGE DE PRODU,8
AL HOCEINIA,8
FIBRO CIMENT,8
TN CAPITAL,7
CARONWAY MAROC,7
IBIS MEKNES - MOUSSAFIR HOTELS  S.A.,7
AGRIN MAROC,7
AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,7
BINARIOS,7
BEST HEALTH,7
CLINIQUE DES PLANTES MAROC,7
SOCIETE D'INVESTISSEMENTS IMMOBILIERS & TOURISTIQUES ZIMANIA,7
COOPERATIVE COPAG,7
ICAT INTERNATIONAL,7
EV MICRO-ORGANISMES,7
FEDERATION ROYALE MAROCAINE DE FOOTBALL,7
RIFAI HOLDING INVESTISSEMENT,7
MEDHUB,6
SAINT GOBAIN ABRASIF,6
ROBELBOIS,6
MEDICALEX,6
IBIS FES - MOUSSAFIR HOTELS  S.A.,6
BULL MAROC,6
INSTITUTION D'EDUCATION AL QALAM II,6
BOLLORE TRANSPORT & LOGISTICS MAROC  S.A,6
MENARA HOLDING,6
T-MAN IMMOBILIER,6
MENARA TRANSPORT,6
GENERAL DYNAMIC SERVICE,6
STE SELFA,6
SOUTHCOMP DISTRIBUTION MAROC,6
SOCIETE D'INVESTISSEMENTS IMMOBILIERS & TOURISTIQU,6
LES CAFES SAHARA,6
TRANSDEV RABAT SALE,6
CBI,6
ATASA,5
PAUL HARTMANN,5
SEW EURODRIVE SARL AU,5
KTI VOYAGES,5
GRANAL,5
DYAR AL MADINA,5
TRDL,5
YAMED TRANSACTION,5
FLOSIT,5
SOCIETE HOTELIERE ANIMATION TOURISTIQUE,5
RETAIL HOLDING,5
SIGNIFY MAROC,5
ASSOCIATION DE LUTTE CONTRE LE SIDA (ALCS),5
ATRAIT TECHNOLOGIES,5
NESPRINT,5
TENOR RESTAURATION,5
DOUJA PROMOTION GROUPE ADDOHA SA,5
CAISSE DE DEPOT ET DE GESTION,5
BOURSE DE CASABLANCA,5
C.G.E.M,5
OCP AFRICA,5
MODES & NUANCES,5
MAROTRANS,5
SAMA INVEST,4
GRANT THORNTON CONSEIL,4
AFRIQUE LEVAGE,4
EGIS RAIL MAROC,4
AGIRH SARL,4
IBIS EL JADIDA - MOUSSAFIR HOTELS  S.A.,4
AXALTA COATING SYSTEMS,4
MAGHREB TITRISATION,4
DIKA MOROCCO CASTING,4
OCP HOSPITALITY,4
MENARA TRANSPORT ET LOGISTIQUE,4
ATLAS CLOUD SERVICES,4
FEDERATION ROYALE MAROCAINE DE TENNIS,4
SODECAF,4
SACMI NWC AFRICA S.A,4
IBIS CASABLANCA - MOUSSAFIR HOTELS  S.A.,4
LOGISMAR,4
CHAABI LIL ISKANE,4
SAFRAN NACELLES MOROCCO,4
GADIMAT,4
VALTECH,4
CROUZET,4
GROUPE PREMIUM,4
NOVOTEL CASA CITY CENTER RISMA S.A.,4
RISMA S.A.,4
TEAM ONE,4
NAVTEQ SOLUTIONS MOROCCO,4
SAFRAN ELECTRICAL & POWER MOROCCO,4
JACOB DELAFON MAROC,4
VOLTALIA MAROC,4
OMYA,4
EUROCERAMICA,4
SOMAPORT,4
TOP AUTO,3
UMANIS,3
SAINT GOBAIN SEKURIT MAROC,3
OPTIMA CHIMIE,3
BASSAMAT & LARAQUI SCPA,3
MAROC LEASING,3
ECOTHERM,3
